time,"I(LQ|XSSA1)"
1.723800e-09,1.934959e-06
1.724000e-09,1.926524e-06
1.724200e-09,1.917258e-06
1.724400e-09,1.907339e-06
1.724600e-09,1.896981e-06
1.724800e-09,1.886402e-06
1.725000e-09,1.875805e-06
1.725200e-09,1.865359e-06
1.725400e-09,1.855179e-06
1.725600e-09,1.845323e-06
1.725800e-09,1.835788e-06
1.726000e-09,1.826516e-06
1.726200e-09,1.817409e-06
1.726400e-09,1.808337e-06
1.726600e-09,1.799158e-06
1.726800e-09,1.789733e-06
1.727000e-09,1.779938e-06
1.727200e-09,1.769668e-06
1.727400e-09,1.758847e-06
1.727600e-09,1.747425e-06
1.727800e-09,1.735370e-06
1.728000e-09,1.722667e-06
1.728200e-09,1.709306e-06
1.728400e-09,1.695273e-06
1.728600e-09,1.680548e-06
1.728800e-09,1.665100e-06
1.729000e-09,1.648883e-06
1.729200e-09,1.631842e-06
1.729400e-09,1.613919e-06
1.729600e-09,1.595051e-06
1.729800e-09,1.575183e-06
1.730000e-09,1.554269e-06
1.730200e-09,1.532272e-06
1.730400e-09,1.509167e-06
1.730600e-09,1.484932e-06
1.730800e-09,1.459546e-06
1.731000e-09,1.432978e-06
1.731200e-09,1.405177e-06
1.731400e-09,1.376069e-06
1.731600e-09,1.345544e-06
1.731800e-09,1.313458e-06
1.732000e-09,1.279631e-06
1.732200e-09,1.243853e-06
1.732400e-09,1.205888e-06
1.732600e-09,1.165486e-06
1.732800e-09,1.122397e-06
1.733000e-09,1.076377e-06
1.733200e-09,1.027207e-06
1.733400e-09,9.747019e-07
1.733600e-09,9.187234e-07
1.733800e-09,8.591920e-07
1.734000e-09,7.961015e-07
1.734200e-09,7.295342e-07
1.734400e-09,6.596806e-07
1.734600e-09,5.868616e-07
1.734800e-09,5.115544e-07
1.735000e-09,4.344184e-07
1.735200e-09,3.563206e-07
1.735400e-09,2.783530e-07
1.735600e-09,2.018400e-07
1.735800e-09,1.283286e-07
1.736000e-09,5.955772e-08
1.736200e-09,-2.596637e-09
1.736400e-09,-5.619996e-08
1.736600e-09,-9.936004e-08
1.736800e-09,-1.303440e-07
1.737000e-09,-1.477037e-07
1.737200e-09,-1.503991e-07
1.737400e-09,-1.379095e-07
1.737600e-09,-1.103227e-07
1.737800e-09,-6.839250e-08
1.738000e-09,-1.355999e-08
1.738200e-09,5.206507e-08
1.738400e-09,1.257626e-07
1.738600e-09,2.042974e-07
1.738800e-09,2.840477e-07
1.739000e-09,3.611596e-07
1.739200e-09,4.317225e-07
1.739400e-09,4.919578e-07
1.739600e-09,5.384134e-07
1.739800e-09,5.681570e-07
1.740000e-09,5.789587e-07
1.740200e-09,5.694556e-07
1.740400e-09,5.392857e-07
1.740600e-09,4.891835e-07
1.740800e-09,4.210249e-07
1.741000e-09,3.378124e-07
1.741200e-09,2.435925e-07
1.741400e-09,1.433003e-07
1.741600e-09,4.253122e-08
1.741800e-09,-5.275780e-08
1.742000e-09,-1.366035e-07
1.742200e-09,-2.034325e-07
1.742400e-09,-2.484728e-07
1.742600e-09,-2.681520e-07
1.742800e-09,-2.604487e-07
1.743000e-09,-2.251636e-07
1.743200e-09,-1.640787e-07
1.743400e-09,-8.097689e-08
1.743600e-09,1.849515e-08
1.743800e-09,1.271283e-07
1.744000e-09,2.366088e-07
1.744200e-09,3.381090e-07
1.744400e-09,4.229735e-07
1.744600e-09,4.834484e-07
1.744800e-09,5.133922e-07
1.745000e-09,5.089026e-07
1.745200e-09,4.687926e-07
1.745400e-09,3.948609e-07
1.745600e-09,2.919112e-07
1.745800e-09,1.675002e-07
1.746000e-09,3.141599e-08
1.746200e-09,-1.050831e-07
1.746400e-09,-2.302126e-07
1.746600e-09,-3.327114e-07
