time,"I(LQ|XBFR1)"
1.278000e-10,-3.918411e-06
1.280000e-10,-3.923545e-06
1.282000e-10,-3.928144e-06
1.284000e-10,-3.932300e-06
1.286000e-10,-3.936151e-06
1.288000e-10,-3.939857e-06
1.290000e-10,-3.943582e-06
1.292000e-10,-3.947459e-06
1.294000e-10,-3.951581e-06
1.296000e-10,-3.955981e-06
1.298000e-10,-3.960634e-06
1.300000e-10,-3.965462e-06
1.302000e-10,-3.970344e-06
1.304000e-10,-3.975144e-06
1.306000e-10,-3.979722e-06
1.308000e-10,-3.983964e-06
1.310000e-10,-3.987796e-06
1.312000e-10,-3.991191e-06
1.314000e-10,-3.994174e-06
1.316000e-10,-3.996818e-06
1.318000e-10,-3.999227e-06
1.320000e-10,-4.001524e-06
1.322000e-10,-4.003828e-06
1.324000e-10,-4.006237e-06
1.326000e-10,-4.008816e-06
1.328000e-10,-4.011587e-06
1.330000e-10,-4.014528e-06
1.332000e-10,-4.017577e-06
1.334000e-10,-4.020647e-06
1.336000e-10,-4.023634e-06
1.338000e-10,-4.026440e-06
1.340000e-10,-4.028985e-06
1.342000e-10,-4.031218e-06
1.344000e-10,-4.033124e-06
1.346000e-10,-4.034725e-06
1.348000e-10,-4.036078e-06
1.350000e-10,-4.037260e-06
1.352000e-10,-4.038361e-06
1.354000e-10,-4.039465e-06
1.356000e-10,-4.040643e-06
1.358000e-10,-4.041940e-06
1.360000e-10,-4.043369e-06
1.362000e-10,-4.044913e-06
1.364000e-10,-4.046528e-06
1.366000e-10,-4.048150e-06
1.368000e-10,-4.049707e-06
1.370000e-10,-4.051131e-06
1.372000e-10,-4.052365e-06
1.374000e-10,-4.053375e-06
1.376000e-10,-4.054152e-06
1.378000e-10,-4.054714e-06
1.380000e-10,-4.055101e-06
1.382000e-10,-4.055369e-06
1.384000e-10,-4.055582e-06
1.386000e-10,-4.055800e-06
1.388000e-10,-4.056074e-06
1.390000e-10,-4.056436e-06
1.392000e-10,-4.056897e-06
1.394000e-10,-4.057445e-06
1.396000e-10,-4.058051e-06
1.398000e-10,-4.058670e-06
1.400000e-10,-4.059252e-06
1.402000e-10,-4.059747e-06
1.404000e-10,-4.060118e-06
1.406000e-10,-4.060338e-06
1.408000e-10,-4.060402e-06
1.410000e-10,-4.060320e-06
1.412000e-10,-4.060121e-06
1.414000e-10,-4.059845e-06
1.416000e-10,-4.059539e-06
1.418000e-10,-4.059245e-06
1.420000e-10,-4.059002e-06
1.422000e-10,-4.058834e-06
1.424000e-10,-4.058751e-06
1.426000e-10,-4.058745e-06
1.428000e-10,-4.058797e-06
1.430000e-10,-4.058876e-06
1.432000e-10,-4.058944e-06
1.434000e-10,-4.058968e-06
1.436000e-10,-4.058918e-06
1.438000e-10,-4.058774e-06
1.440000e-10,-4.058531e-06
1.442000e-10,-4.058198e-06
1.444000e-10,-4.057793e-06
1.446000e-10,-4.057345e-06
1.448000e-10,-4.056889e-06
1.450000e-10,-4.056456e-06
1.452000e-10,-4.056074e-06
1.454000e-10,-4.055763e-06
1.456000e-10,-4.055530e-06
1.458000e-10,-4.055370e-06
1.460000e-10,-4.055270e-06
1.462000e-10,-4.055207e-06
1.464000e-10,-4.055153e-06
1.466000e-10,-4.055084e-06
1.468000e-10,-4.054978e-06
1.470000e-10,-4.054818e-06
1.472000e-10,-4.054601e-06
1.474000e-10,-4.054332e-06
1.476000e-10,-4.054024e-06
1.478000e-10,-4.053698e-06
1.480000e-10,-4.053377e-06
1.482000e-10,-4.053086e-06
1.484000e-10,-4.052845e-06
1.486000e-10,-4.052668e-06
1.488000e-10,-4.052560e-06
1.490000e-10,-4.052518e-06
1.492000e-10,-4.052531e-06
1.494000e-10,-4.052584e-06
1.496000e-10,-4.052655e-06
1.498000e-10,-4.052725e-06
1.500000e-10,-4.052778e-06
1.502000e-10,-4.062365e-06
1.504000e-10,-4.069203e-06
1.506000e-10,-4.067851e-06
1.508000e-10,-4.053455e-06
1.510000e-10,-4.022966e-06
1.512000e-10,-3.976861e-06
1.514000e-10,-3.919548e-06
1.516000e-10,-3.858279e-06
1.518000e-10,-3.801115e-06
1.520000e-10,-3.754780e-06
1.522000e-10,-3.723193e-06
1.524000e-10,-3.707019e-06
1.526000e-10,-3.704151e-06
1.528000e-10,-3.710715e-06
1.530000e-10,-3.722109e-06
1.532000e-10,-3.733777e-06
1.534000e-10,-3.741643e-06
1.536000e-10,-3.742377e-06
1.538000e-10,-3.733675e-06
1.540000e-10,-3.714628e-06
1.542000e-10,-3.686065e-06
1.544000e-10,-3.650638e-06
1.546000e-10,-3.612461e-06
1.548000e-10,-3.576316e-06
1.550000e-10,-3.546602e-06
1.552000e-10,-3.526358e-06
1.554000e-10,-3.516645e-06
1.556000e-10,-3.516434e-06
1.558000e-10,-3.522994e-06
1.560000e-10,-3.532619e-06
1.562000e-10,-3.541457e-06
1.564000e-10,-3.546232e-06
1.566000e-10,-3.544751e-06
1.568000e-10,-3.536140e-06
1.570000e-10,-3.520861e-06
1.572000e-10,-3.500537e-06
1.574000e-10,-3.477631e-06
1.576000e-10,-3.455002e-06
1.578000e-10,-3.435398e-06
1.580000e-10,-3.420946e-06
1.582000e-10,-3.412754e-06
1.584000e-10,-3.410712e-06
1.586000e-10,-3.413554e-06
1.588000e-10,-3.419167e-06
1.590000e-10,-3.425070e-06
1.592000e-10,-3.428954e-06
1.594000e-10,-3.429134e-06
1.596000e-10,-3.424843e-06
1.598000e-10,-3.416294e-06
1.600000e-10,-3.404544e-06
1.602000e-10,-3.391208e-06
1.604000e-10,-3.378094e-06
1.606000e-10,-3.366849e-06
1.608000e-10,-3.358657e-06
1.610000e-10,-3.354059e-06
1.612000e-10,-3.352897e-06
1.614000e-10,-3.354395e-06
1.616000e-10,-3.357352e-06
1.618000e-10,-3.360404e-06
1.620000e-10,-3.362307e-06
1.622000e-10,-3.362174e-06
1.624000e-10,-3.359626e-06
1.626000e-10,-3.354826e-06
1.628000e-10,-3.348395e-06
1.630000e-10,-3.341242e-06
1.632000e-10,-3.334352e-06
1.634000e-10,-3.328574e-06
1.636000e-10,-3.324473e-06
1.638000e-10,-3.322244e-06
1.640000e-10,-3.321715e-06
1.642000e-10,-3.322425e-06
1.644000e-10,-3.323740e-06
1.646000e-10,-3.324999e-06
1.648000e-10,-3.325637e-06
1.650000e-10,-3.325284e-06
1.652000e-10,-3.323810e-06
1.654000e-10,-3.321322e-06
1.656000e-10,-3.318118e-06
1.658000e-10,-3.314605e-06
1.660000e-10,-3.311214e-06
1.662000e-10,-3.308311e-06
1.664000e-10,-3.306141e-06
1.666000e-10,-3.304798e-06
1.668000e-10,-3.304223e-06
1.670000e-10,-3.304236e-06
1.672000e-10,-3.304583e-06
