time,"V(B11|XBFR1)","V(B21|XBFR1)","I(B11|XBFR1)","I(B21|XBFR1)"
3.380000e-11,-3.751836e-05,-3.740472e-05,-4.742183e-05,4.512748e-05
3.400000e-11,-3.586283e-05,-3.639593e-05,-4.684452e-05,4.572344e-05
3.420000e-11,-2.915546e-05,-2.956486e-05,-4.634367e-05,4.625797e-05
3.440000e-11,-1.857846e-05,-1.825562e-05,-4.596531e-05,4.662558e-05
3.460000e-11,-5.690224e-06,-4.599860e-06,-4.574892e-05,4.676479e-05
3.480000e-11,7.699817e-06,8.977932e-06,-4.572905e-05,4.667287e-05
3.500000e-11,1.967287e-05,2.028968e-05,-4.592501e-05,4.639834e-05
3.520000e-11,2.841989e-05,2.777648e-05,-4.632407e-05,4.601678e-05
3.540000e-11,3.254472e-05,3.067386e-05,-4.686970e-05,4.560324e-05
3.560000e-11,3.138065e-05,2.896709e-05,-4.746530e-05,4.521426e-05
3.580000e-11,2.519843e-05,2.322975e-05,-4.799561e-05,4.488519e-05
3.600000e-11,1.519718e-05,1.444991e-05,-4.835853e-05,4.463931e-05
3.620000e-11,3.248333e-06,3.901198e-06,-4.849401e-05,4.449855e-05
3.640000e-11,-8.533110e-06,-6.950538e-06,-4.839762e-05,4.448643e-05
3.660000e-11,-1.824538e-05,-1.655849e-05,-4.811443e-05,4.461993e-05
3.680000e-11,-2.454122e-05,-2.347328e-05,-4.771778e-05,4.489498e-05
3.700000e-11,-2.677595e-05,-2.658987e-05,-4.728447e-05,4.527545e-05
3.720000e-11,-2.497396e-05,-2.540174e-05,-4.687706e-05,4.569417e-05
3.740000e-11,-1.968844e-05,-2.016300e-05,-4.653876e-05,4.606816e-05
3.760000e-11,-1.184084e-05,-1.187413e-05,-4.629824e-05,4.632265e-05
3.780000e-11,-2.590675e-06,-2.071157e-06,-4.617715e-05,4.641328e-05
3.800000e-11,6.765254e-06,7.520719e-06,-4.619245e-05,4.633693e-05
3.820000e-11,1.490115e-05,1.535490e-05,-4.635115e-05,4.612745e-05
3.840000e-11,2.061372e-05,2.033980e-05,-4.664053e-05,4.583979e-05
3.860000e-11,2.301784e-05,2.196225e-05,-4.702116e-05,4.553101e-05
3.880000e-11,2.174079e-05,2.026468e-05,-4.742904e-05,4.524654e-05
3.900000e-11,1.704139e-05,1.573265e-05,-4.778861e-05,4.501614e-05
3.920000e-11,9.790779e-06,9.159488e-06,-4.803242e-05,4.485769e-05
3.940000e-11,1.299450e-06,1.529550e-06,-4.811945e-05,4.478341e-05
3.960000e-11,-6.963811e-06,-6.077083e-06,-4.804466e-05,4.480259e-05
3.980000e-11,-1.367406e-05,-1.258270e-05,-4.783657e-05,4.491866e-05
4.000000e-11,-1.788507e-05,-1.703682e-05,-4.754505e-05,4.512248e-05
4.020000e-11,-1.914490e-05,-1.876673e-05,-4.722578e-05,4.538719e-05
4.040000e-11,-1.749139e-05,-1.751986e-05,-4.692765e-05,4.566914e-05
4.060000e-11,-1.336613e-05,-1.354456e-05,-4.668689e-05,4.591653e-05
4.080000e-11,-7.497017e-06,-7.565293e-06,-4.652730e-05,4.608287e-05
4.100000e-11,-7.841024e-07,-6.432262e-07,-4.646315e-05,4.613973e-05
4.120000e-11,5.802555e-06,6.042764e-06,-4.650062e-05,4.608364e-05
4.140000e-11,1.132407e-05,1.143051e-05,-4.663638e-05,4.593456e-05
4.160000e-11,1.498531e-05,1.475916e-05,-4.685418e-05,4.572764e-05
4.180000e-11,1.625548e-05,1.566445e-05,-4.712301e-05,4.550233e-05
4.200000e-11,1.497193e-05,1.418189e-05,-4.739967e-05,4.529341e-05
4.220000e-11,1.139050e-05,1.068376e-05,-4.763651e-05,4.512669e-05
4.240000e-11,6.153202e-06,5.785393e-06,-4.779238e-05,4.501886e-05
