time,"I(LOUT)","I(LIN|XOUT)","I(LA|XAND)","I(LB|XAND)","I(LC|XAND)"
3.300000e-11,1.320169e-07,-3.817226e-06,-2.467175e-06,1.117124e-06,-2.467175e-06
3.320000e-11,3.245266e-07,-3.745113e-06,-2.491820e-06,1.238527e-06,-2.491820e-06
3.340000e-11,3.536853e-07,-3.121314e-06,-2.289064e-06,1.456814e-06,-2.289064e-06
3.360000e-11,2.403073e-07,-2.073586e-06,-1.896674e-06,1.719762e-06,-1.896674e-06
3.380000e-11,3.586315e-08,-7.931066e-07,-1.379823e-06,1.966540e-06,-1.379823e-06
3.400000e-11,-1.914225e-07,5.008969e-07,-8.199964e-07,2.140890e-06,-8.199964e-07
3.420000e-11,-3.728070e-07,1.599570e-06,-3.016548e-07,2.202880e-06,-3.016548e-07
3.440000e-11,-4.542176e-07,2.339063e-06,1.011052e-07,2.136853e-06,1.011052e-07
3.460000e-11,-4.076027e-07,2.625405e-06,3.356130e-07,1.954179e-06,3.356130e-07
3.480000e-11,-2.364553e-07,2.445712e-06,3.776054e-07,1.690501e-06,3.776054e-07
3.500000e-11,2.545041e-08,1.864586e-06,2.331959e-07,1.398194e-06,2.331959e-07
3.520000e-11,3.217409e-07,1.007426e-06,-6.410307e-08,1.135632e-06,-6.410307e-08
3.540000e-11,5.857551e-07,3.467246e-08,-4.604095e-07,9.554914e-07,-4.604095e-07
3.560000e-11,7.547258e-07,-8.878469e-07,-8.911430e-07,8.944390e-07,-8.911430e-07
3.580000e-11,7.828760e-07,-1.617185e-06,-1.291682e-06,9.661792e-07,-1.291682e-06
3.600000e-11,6.509645e-07,-2.055506e-06,-1.607287e-06,1.159069e-06,-1.607287e-06
3.620000e-11,3.706447e-07,-2.162820e-06,-1.800704e-06,1.438589e-06,-1.800704e-06
3.640000e-11,-1.708537e-08,-1.958492e-06,-1.856293e-06,1.754094e-06,-1.856293e-06
3.660000e-11,-4.490692e-07,-1.511969e-06,-1.780239e-06,2.048508e-06,-1.780239e-06
3.680000e-11,-8.514780e-07,-9.253897e-07,-1.597242e-06,2.269095e-06,-1.597242e-06
3.700000e-11,-1.153344e-06,-3.122119e-07,-1.344707e-06,2.377201e-06,-1.344707e-06
3.720000e-11,-1.299470e-06,2.236686e-07,-1.065720e-06,2.355108e-06,-1.065720e-06
3.740000e-11,-1.260308e-06,6.046571e-07,-8.020408e-07,2.208739e-06,-8.020408e-07
3.760000e-11,-1.037162e-06,7.897529e-07,-5.880772e-07,1.965907e-06,-5.880772e-07
3.780000e-11,-6.620223e-07,7.774378e-07,-4.466025e-07,1.670643e-06,-4.466025e-07
3.800000e-11,-1.921759e-07,6.013502e-07,-3.867291e-07,1.374808e-06,-3.867291e-07
3.820000e-11,2.994395e-07,3.200139e-07,-4.043101e-07,1.128634e-06,-4.043101e-07
3.840000e-11,7.364907e-07,2.908709e-09,-4.844912e-07,9.718911e-07,-4.844912e-07
