time,"I(LIN|XBFR1)","I(LQ|XBFR1)","I(LIN|XBFR2)","I(LQ|XBFR2)","I(LIN|XBFR3)","I(LQ|XBFR3)","I(LIN|XBFR4)","I(LQ|XBFR4)"
2.380000e-11,-5.141283e-06,8.542654e-06,2.277173e-06,1.871759e-06,-6.378900e-07,6.080007e-06,1.009417e-06,8.306567e-06
2.400000e-11,-5.093544e-06,1.164504e-05,2.598374e-06,5.673091e-06,7.303433e-08,9.913885e-06,2.177716e-06,9.421283e-06
2.420000e-11,-5.040726e-06,1.290840e-05,2.400215e-06,9.143025e-06,8.637335e-07,1.270562e-05,3.119330e-06,9.566429e-06
2.440000e-11,-4.987929e-06,1.236774e-05,1.753736e-06,1.193574e-05,1.643458e-06,1.422425e-05,3.741552e-06,8.838622e-06
2.460000e-11,-4.939681e-06,1.023555e-05,7.803498e-07,1.372917e-05,2.308197e-06,1.436593e-05,3.985746e-06,7.405636e-06
2.480000e-11,-4.899982e-06,6.868029e-06,-3.651945e-07,1.426468e-05,2.755125e-06,1.315691e-05,3.831846e-06,5.480919e-06
2.500000e-11,-4.872069e-06,2.724431e-06,-1.513635e-06,1.338521e-05,2.897466e-06,1.075025e-05,3.300912e-06,3.296537e-06
2.520000e-11,-4.857889e-06,-1.689049e-06,-2.504337e-06,1.106982e-05,2.679604e-06,7.411999e-06,2.453987e-06,1.076744e-06
2.540000e-11,-4.857669e-06,-5.888821e-06,-3.211044e-06,7.458814e-06,2.090870e-06,3.492442e-06,1.385241e-06,-9.844386e-07
2.560000e-11,-4.869950e-06,-9.480396e-06,-3.563256e-06,2.859164e-06,1.174117e-06,-6.158626e-07,2.095982e-07,-2.738414e-06
2.580000e-11,-4.892101e-06,-1.220134e-05,-3.555283e-06,-2.278998e-06,2.454301e-08,-4.524629e-06,-9.523966e-07,-4.088568e-06
2.600000e-11,-4.921007e-06,-1.393067e-05,-3.239824e-06,-7.416295e-06,-1.223121e-06,-7.890615e-06,-1.988777e-06,-4.989136e-06
2.620000e-11,-4.953582e-06,-1.467050e-05,-2.709923e-06,-1.199728e-05,-2.416029e-06,-1.044434e-05,-2.806938e-06,-5.438652e-06
2.640000e-11,-4.987000e-06,-1.451486e-05,-2.077094e-06,-1.552423e-05,-3.406781e-06,-1.200623e-05,-3.340497e-06,-5.470371e-06
2.660000e-11,-5.018760e-06,-1.361857e-05,-1.452150e-06,-1.761553e-05,-4.073142e-06,-1.249290e-05,-3.552944e-06,-5.141447e-06
2.680000e-11,-5.046727e-06,-1.217073e-05,-9.309566e-07,-1.804314e-05,-4.331585e-06,-1.191626e-05,-3.438803e-06,-4.522176e-06
2.700000e-11,-5.069229e-06,-1.037093e-05,-5.838408e-07,-1.675298e-05,-4.145758e-06,-1.037642e-05,-3.022468e-06,-3.686478e-06
