time,"I(RIN1)","I(RIN2)","I(LOUT)"
6.200000e-11,-5.000636e-06,-5.000636e-06,1.732897e-07
6.220000e-11,-4.998691e-06,-4.998691e-06,1.127001e-07
6.240000e-11,-4.996911e-06,-4.996911e-06,4.202505e-08
6.260000e-11,-4.995501e-06,-4.995501e-06,-2.878906e-08
6.280000e-11,-4.994621e-06,-4.994621e-06,-8.989385e-08
6.300000e-11,-4.994368e-06,-4.994368e-06,-1.329546e-07
6.320000e-11,-4.994763e-06,-4.994763e-06,-1.523222e-07
6.340000e-11,-4.995755e-06,-4.995755e-06,-1.457925e-07
6.360000e-11,-4.997218e-06,-4.997218e-06,-1.148491e-07
6.380000e-11,-4.998978e-06,-4.998978e-06,-6.436595e-08
6.400000e-11,-5.000825e-06,-5.000825e-06,-1.827423e-09
6.420000e-11,-5.002544e-06,-5.002544e-06,6.380837e-08
6.440000e-11,-5.003938e-06,-5.003938e-06,1.234247e-07
6.460000e-11,-5.004850e-06,-5.004850e-06,1.690432e-07
6.480000e-11,-5.005185e-06,-5.005185e-06,1.949131e-07
6.500000e-11,-5.004915e-06,-5.004915e-06,1.982423e-07
6.520000e-11,-5.004085e-06,-5.004085e-06,1.794767e-07
6.540000e-11,-5.002805e-06,-5.002805e-06,1.421059e-07
6.560000e-11,-5.001234e-06,-5.001234e-06,9.204237e-08
6.580000e-11,-4.999564e-06,-4.999564e-06,3.668319e-08
6.600000e-11,-4.997992e-06,-4.997992e-06,-1.619637e-08
6.620000e-11,-4.996697e-06,-4.996697e-06,-5.954992e-08
6.640000e-11,-4.995823e-06,-4.995823e-06,-8.800785e-08
6.660000e-11,-4.995457e-06,-4.995457e-06,-9.853782e-08
6.680000e-11,-4.995627e-06,-4.995627e-06,-9.073827e-08
6.700000e-11,-4.996295e-06,-4.996295e-06,-6.674314e-08
6.720000e-11,-4.997365e-06,-4.997365e-06,-3.077402e-08
6.740000e-11,-4.998700e-06,-4.998700e-06,1.157538e-08
6.760000e-11,-5.000134e-06,-5.000134e-06,5.420337e-08
6.780000e-11,-5.001497e-06,-5.001497e-06,9.138016e-08
6.800000e-11,-5.002634e-06,-5.002634e-06,1.185165e-07
6.820000e-11,-5.003423e-06,-5.003423e-06,1.327183e-07
6.840000e-11,-5.003785e-06,-5.003785e-06,1.330635e-07
6.860000e-11,-5.003698e-06,-5.003698e-06,1.205808e-07
6.880000e-11,-5.003190e-06,-5.003190e-06,9.795563e-08
6.900000e-11,-5.002341e-06,-5.002341e-06,6.902684e-08
6.920000e-11,-5.001263e-06,-5.001263e-06,3.816142e-08
6.940000e-11,-5.000093e-06,-5.000093e-06,9.607236e-09
6.960000e-11,-4.998970e-06,-4.998970e-06,-1.308210e-08
6.980000e-11,-4.998021e-06,-4.998021e-06,-2.747376e-08
7.000000e-11,-4.997347e-06,-4.997347e-06,-3.248559e-08
7.020000e-11,-4.997011e-06,-4.997011e-06,-2.840408e-08
7.040000e-11,-4.997033e-06,-4.997033e-06,-1.670767e-08
7.060000e-11,-4.997390e-06,-4.997390e-06,2.606949e-10
7.080000e-11,-4.998023e-06,-4.998023e-06,1.970933e-08
7.100000e-11,-4.998842e-06,-4.998842e-06,3.883300e-08
7.120000e-11,-4.999743e-06,-4.999743e-06,5.520209e-08
7.140000e-11,-5.000618e-06,-5.000618e-06,6.705398e-08
7.160000e-11,-5.001369e-06,-5.001369e-06,7.345487e-08
7.180000e-11,-5.001919e-06,-5.001919e-06,7.432281e-08
7.200000e-11,-5.002219e-06,-5.002219e-06,7.032506e-08
7.220000e-11,-5.002250e-06,-5.002250e-06,6.268026e-08
7.240000e-11,-5.002029e-06,-5.002029e-06,5.290709e-08
7.260000e-11,-5.001597e-06,-5.001597e-06,4.256426e-08
7.280000e-11,-5.001019e-06,-5.001019e-06,3.302302e-08
7.300000e-11,-5.000369e-06,-5.000369e-06,2.530272e-08
7.320000e-11,-4.999727e-06,-4.999727e-06,1.998634e-08
7.340000e-11,-4.999162e-06,-4.999162e-06,1.721784e-08
7.360000e-11,-4.998732e-06,-4.998732e-06,1.676918e-08
7.380000e-11,-4.998474e-06,-4.998474e-06,1.815523e-08
7.400000e-11,-4.998402e-06,-4.998402e-06,2.076911e-08
7.420000e-11,-4.998508e-06,-4.998508e-06,2.401115e-08
7.440000e-11,-4.998767e-06,-4.998767e-06,2.738896e-08
7.460000e-11,-4.999136e-06,-4.999136e-06,3.057475e-08
7.480000e-11,-4.999566e-06,-4.999566e-06,3.341568e-08
7.500000e-11,-5.000005e-06,-5.000005e-06,3.590290e-08
7.520000e-11,-5.000405e-06,-5.000405e-06,3.811220e-08
7.540000e-11,-5.000727e-06,-5.000727e-06,4.013385e-08
7.560000e-11,-5.000944e-06,-5.000944e-06,4.200962e-08
7.580000e-11,-5.001044e-06,-5.001044e-06,4.369187e-08
7.600000e-11,-5.001027e-06,-5.001027e-06,4.503397e-08
7.620000e-11,-5.000907e-06,-5.000907e-06,4.581350e-08
7.640000e-11,-5.000706e-06,-5.000706e-06,4.578278e-08
7.660000e-11,-5.000455e-06,-5.000455e-06,4.473494e-08
7.680000e-11,-5.000182e-06,-5.000182e-06,4.257046e-08
7.700000e-11,-4.999919e-06,-4.999919e-06,3.934872e-08
7.720000e-11,-4.999690e-06,-4.999690e-06,3.531184e-08
7.740000e-11,-4.999513e-06,-4.999513e-06,3.087357e-08
7.760000e-11,-4.999401e-06,-4.999401e-06,2.657252e-08
7.780000e-11,-4.999357e-06,-4.999357e-06,2.299634e-08
7.800000e-11,-4.999376e-06,-4.999376e-06,2.068911e-08
7.820000e-11,-4.999451e-06,-4.999451e-06,2.005796e-08
7.840000e-11,-4.999567e-06,-4.999567e-06,2.129592e-08
7.860000e-11,-4.999711e-06,-4.999711e-06,2.433537e-08
7.880000e-11,-4.999865e-06,-4.999865e-06,2.884190e-08
7.900000e-11,-5.000015e-06,-5.000015e-06,3.425141e-08
