time,"I(LQ|XCOUT)","I(LQ|XSUM)"
8.120000e-11,1.844676e-07,-8.120590e-07
8.140000e-11,1.903473e-07,-8.334098e-07
8.160000e-11,1.797332e-07,-8.530123e-07
8.180000e-11,1.542401e-07,-8.690650e-07
8.200000e-11,1.168562e-07,-8.801153e-07
8.220000e-11,7.160701e-08,-8.851892e-07
8.240000e-11,2.313228e-08,-8.838766e-07
8.260000e-11,-2.378010e-08,-8.763647e-07
8.280000e-11,-6.465750e-08,-8.634165e-07
8.300000e-11,-9.576027e-08,-8.462972e-07
8.320000e-11,-1.144159e-07,-8.266549e-07
8.340000e-11,-1.192404e-07,-8.063657e-07
8.360000e-11,-1.102304e-07,-7.873582e-07
8.380000e-11,-8.871974e-08,-7.714323e-07
8.400000e-11,-5.720922e-08,-7.600893e-07
8.420000e-11,-1.908933e-08,-7.543891e-07
8.440000e-11,2.171552e-08,-7.548479e-07
8.460000e-11,6.114447e-08,-7.613879e-07
8.480000e-11,9.540010e-08,-7.733427e-07
8.500000e-11,1.213118e-07,-7.895208e-07
8.520000e-11,1.366276e-07,-8.083204e-07
8.540000e-11,1.402082e-07,-8.278856e-07
8.560000e-11,1.321052e-07,-8.462897e-07
8.580000e-11,1.135191e-07,-8.617257e-07
8.600000e-11,8.664467e-08,-8.726874e-07
8.620000e-11,5.442079e-08,-8.781202e-07
8.640000e-11,2.021353e-08,-8.775268e-07
8.660000e-11,-1.253415e-08,-8.710166e-07
8.680000e-11,-4.064928e-08,-8.592932e-07
8.700000e-11,-6.153708e-08,-8.435801e-07
8.720000e-11,-7.342006e-08,-8.254940e-07
8.740000e-11,-7.548561e-08,-8.068769e-07
8.760000e-11,-6.793006e-08,-7.896063e-07
8.780000e-11,-5.189839e-08,-7.754027e-07
8.800000e-11,-2.932965e-08,-7.656544e-07
8.820000e-11,-2.728020e-09,-7.612800e-07
8.840000e-11,2.511374e-08,-7.626391e-07
8.860000e-11,5.140772e-08,-7.695043e-07
8.880000e-11,7.364985e-08,-7.810927e-07
8.900000e-11,8.985646e-08,-7.961554e-07
8.920000e-11,9.873590e-08,-8.131134e-07
8.940000e-11,9.978120e-08,-8.302248e-07
8.960000e-11,9.327852e-08,-8.457654e-07
8.980000e-11,8.023546e-08,-8.582042e-07
9.000000e-11,6.224141e-08,-8.663541e-07
9.020000e-11,4.127852e-08,-8.694854e-07
9.040000e-11,1.950546e-08,-8.673887e-07
9.060000e-11,-9.622968e-10,-8.603845e-07
9.080000e-11,-1.825350e-08,-8.492786e-07
9.100000e-11,-3.090507e-08,-8.352693e-07
9.120000e-11,-3.797543e-08,-8.198187e-07
9.140000e-11,-3.910030e-08,-8.044995e-07
9.160000e-11,-3.448999e-08,-7.908358e-07
9.180000e-11,-2.487322e-08,-7.801524e-07
9.200000e-11,-1.139703e-08,-7.734478e-07
9.220000e-11,4.504289e-09,-7.713024e-07
9.240000e-11,2.125678e-08,-7.738309e-07
9.260000e-11,3.729635e-08,-7.806814e-07
9.280000e-11,5.120690e-08,-7.910806e-07
9.300000e-11,6.183619e-08,-8.039194e-07
9.320000e-11,6.838126e-08,-8.178701e-07
9.340000e-11,7.043878e-08,-8.315217e-07
9.360000e-11,6.801886e-08,-8.435220e-07
9.380000e-11,6.152359e-08,-8.527097e-07
9.400000e-11,5.169451e-08,-8.582264e-07
9.420000e-11,3.953479e-08,-8.595956e-07
9.440000e-11,2.621349e-08,-8.567637e-07
9.460000e-11,1.296009e-08,-8.500970e-07
9.480000e-11,9.577488e-10,-8.403382e-07
9.500000e-11,-8.756487e-09,-8.285256e-07
9.520000e-11,-1.537683e-08,-8.158840e-07
9.540000e-11,-1.839288e-08,-8.036984e-07
9.560000e-11,-1.762785e-08,-7.931840e-07
9.580000e-11,-1.324780e-08,-7.853650e-07
9.600000e-11,-5.741251e-09,-7.809745e-07
9.620000e-11,4.129222e-09,-7.803852e-07
9.640000e-11,1.539941e-08,-7.835787e-07
9.660000e-11,2.699367e-08,-7.901534e-07
9.680000e-11,3.782499e-08,-7.993737e-07
9.700000e-11,4.689585e-08,-8.102499e-07
9.720000e-11,5.339046e-08,-8.216453e-07
9.740000e-11,5.674972e-08,-8.323939e-07
9.760000e-11,5.672147e-08,-8.414211e-07
9.780000e-11,5.338110e-08,-8.478509e-07
9.800000e-11,4.712032e-08,-8.510914e-07
9.820000e-11,3.860510e-08,-8.508891e-07
9.840000e-11,2.870705e-08,-8.473468e-07
9.860000e-11,1.841498e-08,-8.409050e-07
9.880000e-11,8.735807e-09,-8.322882e-07
9.900000e-11,5.948772e-10,-8.224245e-07
9.920000e-11,-5.254186e-09,-8.123450e-07
9.940000e-11,-8.300879e-09,-8.030763e-07
9.960000e-11,-8.323442e-09,-7.955360e-07
9.980000e-11,-5.404384e-09,-7.904418e-07
1.000000e-10,8.516898e-11,-7.882442e-07
1.002000e-10,7.286648e-09,-7.895665e-07
1.004000e-10,1.530321e-08,-7.945254e-07
1.006000e-10,2.314585e-08,-8.030117e-07
1.008000e-10,2.981542e-08,-8.147448e-07
1.010000e-10,3.442463e-08,-8.292609e-07
1.012000e-10,3.631045e-08,-8.459052e-07
1.014000e-10,3.511250e-08,-8.638540e-07
1.016000e-10,3.080725e-08,-8.821670e-07
1.018000e-10,2.369735e-08,-8.998659e-07
1.020000e-10,1.436137e-08,-9.160255e-07
1.022000e-10,3.573918e-09,-9.298700e-07
1.024000e-10,-7.791454e-09,-9.408598e-07
1.026000e-10,-1.886330e-08,-9.487602e-07
1.028000e-10,-2.886505e-08,-9.536797e-07
1.030000e-10,-3.718944e-08,-9.560709e-07
1.032000e-10,-4.344813e-08,-9.566913e-07
1.034000e-10,-4.749326e-08,-9.565242e-07
1.036000e-10,-4.941164e-08,-9.566684e-07
1.038000e-10,-4.949525e-08,-9.582082e-07
1.040000e-10,-4.819382e-08,-9.620787e-07
1.042000e-10,-4.605682e-08,-9.689444e-07
1.044000e-10,-4.367194e-08,-9.791078e-07
1.046000e-10,-4.160673e-08,-9.924606e-07
1.048000e-10,-4.035842e-08,-1.008488e-06
1.050000e-10,-4.031543e-08,-1.026328e-06
1.052000e-10,-4.173217e-08,-1.044876e-06
1.054000e-10,-4.471749e-08,-1.062927e-06
1.056000e-10,-4.923562e-08,-1.079335e-06
1.058000e-10,-5.511835e-08,-1.093166e-06
1.060000e-10,-6.208622e-08,-1.103819e-06
1.062000e-10,-6.977694e-08,-1.111109e-06
1.064000e-10,-7.777874e-08,-1.115282e-06
1.066000e-10,-8.566659e-08,-1.116987e-06
1.068000e-10,-9.303892e-08,-1.117173e-06
1.070000e-10,-9.955224e-08,-1.116964e-06
1.072000e-10,-1.049512e-07,-1.117502e-06
1.074000e-10,-1.090911e-07,-1.119795e-06
1.076000e-10,-1.119512e-07,-1.124586e-06
1.078000e-10,-1.136361e-07,-1.132263e-06
1.080000e-10,-1.143659e-07,-1.142817e-06
1.082000e-10,-1.144538e-07,-1.155865e-06
1.084000e-10,-1.142743e-07,-1.170713e-06
1.086000e-10,-1.142250e-07,-1.186464e-06
1.088000e-10,-1.146841e-07,-1.202148e-06
