time,"I(RINA)","I(RINB)","I(RINC)","I(LQ|XBS)","I(LQ|XBC)"
2.300000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-6.522242e-06,-1.451316e-06
2.320000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-4.353888e-06,1.851353e-06
2.340000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-1.440047e-06,5.041606e-06
2.360000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,1.769418e-06,7.714383e-06
2.380000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,4.772999e-06,9.527816e-06
2.400000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,7.099029e-06,1.024984e-05
2.420000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,8.381813e-06,9.787078e-06
2.440000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,8.417535e-06,8.192892e-06
2.460000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,7.191790e-06,5.656287e-06
2.480000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,4.878135e-06,2.475696e-06
2.500000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,1.810764e-06,-9.785483e-07
2.520000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-1.565197e-06,-4.309560e-06
2.540000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-4.760940e-06,-7.142136e-06
2.560000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-7.319337e-06,-9.166919e-06
2.580000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-8.884377e-06,-1.017355e-05
2.600000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-9.251142e-06,-1.006895e-05
2.620000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-8.389040e-06,-8.881257e-06
2.640000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-6.438619e-06,-6.752150e-06
2.660000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-3.686250e-06,-3.920173e-06
2.680000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-5.210636e-07,-6.957054e-07
2.700000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,2.621604e-06,2.571901e-06
2.720000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,5.323382e-06,5.532400e-06
2.740000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,7.242102e-06,7.872684e-06
2.760000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,8.156031e-06,9.349010e-06
2.780000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,7.986433e-06,9.809918e-06
2.800000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,6.798204e-06,9.209446e-06
2.820000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,4.782472e-06,7.611624e-06
2.840000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,2.225694e-06,5.186307e-06
