time,"I(LQ|X1)","I(LQ|X2)"
9.080000e-11,2.206854e-06,3.576729e-07
9.100000e-11,2.204076e-06,3.570536e-07
9.120000e-11,2.199360e-06,3.544631e-07
9.140000e-11,2.193437e-06,3.503136e-07
9.160000e-11,2.187165e-06,3.452333e-07
9.180000e-11,2.181405e-06,3.399714e-07
9.200000e-11,2.176912e-06,3.352869e-07
9.220000e-11,2.174230e-06,3.318383e-07
9.240000e-11,2.173636e-06,3.300901e-07
9.260000e-11,2.175115e-06,3.302499e-07
9.280000e-11,2.178376e-06,3.322444e-07
9.300000e-11,2.182904e-06,3.357369e-07
9.320000e-11,2.188040e-06,3.401831e-07
9.340000e-11,2.193075e-06,3.449161e-07
9.360000e-11,2.197345e-06,3.492463e-07
9.380000e-11,2.200315e-06,3.525630e-07
9.400000e-11,2.201648e-06,3.544207e-07
9.420000e-11,2.201233e-06,3.545985e-07
9.440000e-11,2.199197e-06,3.531259e-07
9.460000e-11,2.195873e-06,3.502700e-07
9.480000e-11,2.191751e-06,3.464887e-07
9.500000e-11,2.187407e-06,3.423579e-07
9.520000e-11,2.183423e-06,3.384836e-07
9.540000e-11,2.180314e-06,3.354127e-07
9.560000e-11,2.178461e-06,3.335561e-07
9.580000e-11,2.178064e-06,3.331338e-07
9.600000e-11,2.179125e-06,3.341509e-07
9.620000e-11,2.181454e-06,3.364048e-07
9.640000e-11,2.184699e-06,3.395231e-07
9.660000e-11,2.188398e-06,3.430243e-07
9.680000e-11,2.192040e-06,3.463922e-07
9.700000e-11,2.195143e-06,3.491512e-07
9.720000e-11,2.197306e-06,3.509339e-07
9.740000e-11,2.198269e-06,3.515287e-07
9.760000e-11,2.197940e-06,3.509034e-07
9.780000e-11,2.196403e-06,3.492017e-07
9.800000e-11,2.193903e-06,3.467143e-07
9.820000e-11,2.190807e-06,3.438306e-07
9.840000e-11,2.187553e-06,3.409779e-07
9.860000e-11,2.184587e-06,3.385589e-07
9.880000e-11,2.182304e-06,3.368950e-07
9.900000e-11,2.180994e-06,3.361849e-07
9.920000e-11,2.180805e-06,3.364823e-07
9.940000e-11,2.181727e-06,3.376956e-07
9.960000e-11,2.183600e-06,3.396085e-07
9.980000e-11,2.186135e-06,3.419169e-07
1.000000e-10,2.188964e-06,3.442767e-07
1.002000e-10,2.193368e-06,3.463882e-07
1.004000e-10,2.199613e-06,3.481718e-07
1.006000e-10,2.208470e-06,3.498230e-07
1.008000e-10,2.221079e-06,3.517820e-07
1.010000e-10,2.238537e-06,3.546211e-07
1.012000e-10,2.261560e-06,3.588901e-07
1.014000e-10,2.290282e-06,3.649695e-07
1.016000e-10,2.324129e-06,3.729788e-07
1.018000e-10,2.361798e-06,3.827606e-07
1.020000e-10,2.401327e-06,3.939333e-07
1.022000e-10,2.440285e-06,4.059817e-07
1.024000e-10,2.476074e-06,4.183422e-07
1.026000e-10,2.506311e-06,4.304584e-07
1.028000e-10,2.529223e-06,4.417976e-07
1.030000e-10,2.544001e-06,4.518506e-07
1.032000e-10,2.551018e-06,4.601454e-07
1.034000e-10,2.551863e-06,4.662994e-07
1.036000e-10,2.549160e-06,4.701130e-07
1.038000e-10,2.546192e-06,4.716755e-07
1.040000e-10,2.546386e-06,4.714412e-07
1.042000e-10,2.552744e-06,4.702335e-07
1.044000e-10,2.567313e-06,4.691605e-07
1.046000e-10,2.590811e-06,4.694540e-07
1.048000e-10,2.622448e-06,4.722670e-07
1.050000e-10,2.660025e-06,4.784773e-07
1.052000e-10,2.700256e-06,4.885340e-07
1.054000e-10,2.739312e-06,5.023771e-07
1.056000e-10,2.773456e-06,5.194379e-07
1.058000e-10,2.799691e-06,5.387146e-07
1.060000e-10,2.816294e-06,5.589060e-07
1.062000e-10,2.823134e-06,5.785769e-07
1.064000e-10,2.821727e-06,5.963349e-07
1.066000e-10,2.815002e-06,6.110007e-07
1.068000e-10,2.806808e-06,6.217598e-07
1.070000e-10,2.801251e-06,6.282842e-07
1.072000e-10,2.801975e-06,6.308090e-07
1.074000e-10,2.811509e-06,6.301431e-07
1.076000e-10,2.830808e-06,6.275994e-07
1.078000e-10,2.859068e-06,6.248403e-07
1.080000e-10,2.893861e-06,6.236562e-07
1.082000e-10,2.931566e-06,6.257104e-07
1.084000e-10,2.968011e-06,6.322941e-07
1.086000e-10,2.999224e-06,6.441360e-07
1.088000e-10,3.022145e-06,6.612982e-07
1.090000e-10,3.035176e-06,6.831756e-07
1.092000e-10,3.038460e-06,7.085961e-07
1.094000e-10,3.033849e-06,7.360017e-07
1.096000e-10,3.024558e-06,7.636771e-07
1.098000e-10,3.014579e-06,7.899864e-07
1.100000e-10,3.007953e-06,8.135827e-07
1.102000e-10,3.008044e-06,8.335622e-07
1.104000e-10,3.016945e-06,8.495520e-07
1.106000e-10,3.035107e-06,8.617249e-07
1.108000e-10,3.061282e-06,8.707502e-07
1.110000e-10,3.092767e-06,8.776881e-07
1.112000e-10,3.125905e-06,8.838436e-07
1.114000e-10,3.156767e-06,8.905977e-07
1.116000e-10,3.181858e-06,8.992368e-07
1.118000e-10,3.198757e-06,9.108055e-07
1.120000e-10,3.206531e-06,9.260008e-07
1.122000e-10,3.205885e-06,9.451235e-07
1.124000e-10,3.199003e-06,9.680903e-07
1.126000e-10,3.189116e-06,9.945022e-07
1.128000e-10,3.179883e-06,1.023752e-06
1.130000e-10,3.174707e-06,1.055149e-06
1.132000e-10,3.176106e-06,1.088038e-06
1.134000e-10,3.185263e-06,1.121891e-06
1.136000e-10,3.201840e-06,1.156359e-06
1.138000e-10,3.224072e-06,1.191277e-06
1.140000e-10,3.249135e-06,1.226640e-06
1.142000e-10,3.273698e-06,1.262547e-06
